,No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
155,156,2013.167,13.8,4082.015,0,24.94155,121.50381,15.6
331,332,2013.333,25.6,4519.69,0,24.94826,121.49587,15.6
94,95,2012.917,40.9,167.5989,5,24.9663,121.54026,41.0
406,407,2013.167,1.9,372.1386,7,24.97293,121.54026,40.5
186,187,2013.167,20.9,2185.128,3,24.96322,121.51237,25.7
232,233,2012.917,27.1,4412.765,1,24.95032,121.49587,17.4
358,359,2013.167,1.1,193.5845,6,24.96571,121.54089,45.1
260,261,2013.25,17.0,1485.097,4,24.97073,121.517,30.7
399,400,2012.917,12.7,170.1289,1,24.97371,121.52984,37.3
180,181,2012.667,26.9,4449.27,0,24.94898,121.49621,15.5
87,88,2013.583,16.9,4066.587,0,24.94297,121.50342,18.3
88,89,2012.917,8.9,1406.43,0,24.98573,121.52758,48.0
350,351,2013.0,13.2,492.2313,5,24.96515,121.53737,42.3
75,76,2013.5,12.3,1360.139,1,24.95204,121.54842,29.5
121,122,2013.5,13.6,492.2313,5,24.96515,121.53737,48.0
281,282,2013.333,4.7,387.7721,9,24.98118,121.53788,44.8
157,158,2013.25,16.1,815.9314,4,24.97886,121.53464,35.6
18,19,2013.417,16.9,368.1363,8,24.9675,121.54451,42.3
299,300,2013.167,33.2,121.7262,10,24.98178,121.54059,46.1
12,13,2012.917,13.0,492.2313,5,24.96515,121.53737,39.3
211,212,2013.083,0.0,274.0144,1,24.9748,121.53059,43.5
79,80,2013.0,18.0,1414.837,1,24.95182,121.54887,26.5
242,243,2012.833,2.0,2077.39,3,24.96357,121.51329,33.4
203,204,2012.667,15.6,289.3248,5,24.98203,121.54348,46.1
297,298,2012.833,34.9,567.0349,4,24.97003,121.5458,28.5
327,328,2013.417,3.5,757.3377,3,24.97538,121.54971,36.7
339,340,2013.333,1.7,329.9747,5,24.98254,121.54395,50.4
44,45,2013.583,2.7,533.4762,4,24.97445,121.54765,53.9
116,117,2013.0,30.9,6396.283,1,24.94375,121.47883,12.2
168,169,2013.083,27.6,515.1122,5,24.96299,121.5432,37.4
175,176,2013.083,30.2,472.1745,3,24.97005,121.53758,36.5
5,6,2012.667,7.1,2175.03,3,24.96305,121.51254,32.1
84,85,2013.083,15.1,383.2805,7,24.96735,121.54464,43.7
47,48,2013.583,35.9,640.7391,3,24.97563,121.53715,61.5
265,266,2012.833,15.7,815.9314,4,24.97886,121.53464,38.1
184,185,2012.75,14.1,2615.465,0,24.95495,121.56174,21.8
337,338,2012.833,31.3,600.8604,5,24.96871,121.54651,30.9
365,366,2012.917,17.3,2261.432,4,24.96182,121.51222,29.5
403,404,2012.667,30.9,161.942,9,24.98353,121.53966,39.7
173,174,2013.083,41.3,401.8807,4,24.98326,121.5446,35.1
60,61,2013.417,11.0,1931.207,2,24.96365,121.51471,21.3
51,52,2013.083,31.3,1758.406,1,24.95402,121.55282,20.7
355,356,2013.25,3.8,383.8624,5,24.98085,121.54391,60.7
357,358,2013.417,0.0,338.9679,9,24.96853,121.54413,44.9
263,264,2013.417,3.9,2147.376,3,24.96299,121.51284,31.7
156,157,2013.583,30.7,1264.73,0,24.94883,121.52954,18.3
219,220,2012.75,29.3,529.7771,8,24.98102,121.53655,40.2
61,62,2013.5,5.3,259.6607,6,24.97585,121.54516,63.2
125,126,2013.167,1.1,193.5845,6,24.96571,121.54089,48.6
105,106,2012.833,0.0,292.9978,6,24.97744,121.54458,71.0
151,152,2013.5,4.9,387.7721,9,24.98118,121.53788,44.7
97,98,2013.083,28.4,617.4424,3,24.97746,121.53299,34.6
13,14,2012.667,20.4,2469.645,4,24.96108,121.51046,23.8
352,353,2012.833,18.4,2674.961,3,24.96143,121.50827,25.7
289,290,2013.333,13.9,289.3248,5,24.98203,121.54348,44.5
127,128,2013.25,3.8,383.8624,5,24.98085,121.54391,55.0
249,250,2012.833,18.0,6306.153,1,24.95743,121.47516,15.0
185,186,2012.75,31.4,1447.286,3,24.97285,121.5173,21.5
256,257,2012.667,14.6,339.2289,1,24.97519,121.53151,26.5
347,348,2013.583,17.4,6488.021,1,24.95719,121.47353,11.2
208,209,2012.75,11.5,1360.139,1,24.95204,121.54842,26.2
34,35,2012.75,15.4,205.367,7,24.98419,121.54243,55.1
30,31,2013.5,25.9,4519.69,0,24.94826,121.49587,22.1
197,198,2013.25,34.4,126.7286,8,24.96881,121.54089,48.2
364,365,2013.417,35.3,614.1394,7,24.97913,121.53666,33.1
65,66,2013.417,40.1,123.7429,8,24.97635,121.54329,44.3
310,311,2013.583,16.4,1643.499,2,24.95394,121.55174,24.7
244,245,2013.083,4.8,1559.827,3,24.97213,121.51627,21.7
284,285,2012.917,15.0,383.2805,7,24.96735,121.54464,34.4
226,227,2013.0,16.5,4082.015,0,24.94155,121.50381,12.8
207,208,2013.083,38.5,665.0636,3,24.97503,121.53692,34.2
140,141,2013.25,16.2,289.3248,5,24.98203,121.54348,51.4
262,263,2012.917,15.9,289.3248,5,24.98203,121.54348,53.0
360,361,2012.667,32.9,87.30222,10,24.983,121.54022,47.1
344,345,2013.5,34.6,3085.17,0,24.998,121.5155,41.2
113,114,2013.333,14.8,393.2606,6,24.96172,121.53812,7.6
340,341,2013.333,33.6,270.8895,0,24.97281,121.53265,42.9
356,357,2012.833,10.3,211.4473,1,24.97417,121.52999,45.3
152,153,2013.333,12.0,1360.139,1,24.95204,121.54842,28.9
45,46,2013.083,36.6,488.8193,8,24.97015,121.54494,38.3
374,375,2013.25,5.4,390.5684,5,24.97937,121.54245,49.5
382,383,2013.0,16.3,3529.564,0,24.93207,121.51597,29.3
169,170,2013.417,8.4,1962.628,1,24.95468,121.55481,23.5
405,406,2012.667,23.0,130.9945,6,24.95663,121.53765,37.2
348,349,2012.833,4.6,259.6607,6,24.97585,121.54516,53.7
55,56,2012.833,31.7,1160.632,0,24.94968,121.53009,13.7
373,374,2013.083,0.0,274.0144,1,24.9748,121.53059,52.2
324,325,2012.667,12.4,1712.632,2,24.96412,121.5167,31.3
296,297,2012.75,12.5,1144.436,4,24.99176,121.53456,34.1
117,118,2013.0,13.6,4197.349,0,24.93885,121.50383,13.0
62,63,2012.917,17.2,2175.877,3,24.96303,121.51254,27.7
332,333,2013.167,39.8,617.7134,2,24.97577,121.53475,39.6
138,139,2013.167,10.0,942.4664,0,24.97843,121.52406,43.5
81,82,2013.0,30.8,377.7956,6,24.96427,121.53964,36.8
103,104,2012.75,0.0,208.3905,6,24.95618,121.53844,45.7
178,179,2013.5,13.1,1144.436,4,24.99176,121.53456,36.7
286,287,2012.917,5.9,90.45606,9,24.97433,121.5431,56.3
70,71,2013.583,6.6,90.45606,9,24.97433,121.5431,59.0
172,173,2013.583,6.6,90.45606,9,24.97433,121.5431,58.1
351,352,2012.833,4.0,2180.245,3,24.96324,121.51241,28.6
150,151,2013.25,35.8,170.7311,7,24.96719,121.54269,48.5
392,393,2013.083,42.7,443.802,6,24.97927,121.53874,35.3
188,189,2012.917,34.8,190.0392,8,24.97707,121.54312,44.3
119,120,2013.5,16.6,289.3248,5,24.98203,121.54348,59.6
391,392,2013.583,6.2,1939.749,1,24.95155,121.55387,31.3
377,378,2013.333,3.9,49.66105,8,24.95836,121.53756,56.8
346,347,2013.417,13.2,1712.632,2,24.96412,121.5167,30.8
368,369,2013.417,18.2,350.8515,1,24.97544,121.53119,43.1
176,177,2012.833,13.9,4573.779,0,24.94867,121.49507,19.2
306,307,2013.5,14.4,169.9803,1,24.97369,121.52979,50.2
320,321,2012.75,13.5,4197.349,0,24.93885,121.50383,18.6
329,330,2013.0,13.6,4197.349,0,24.93885,121.50383,19.2
231,232,2012.833,16.2,4074.736,0,24.94235,121.50357,14.7
104,105,2012.667,32.7,392.4459,6,24.96398,121.5425,30.5
312,313,2013.583,35.4,318.5292,9,24.97071,121.54069,78.0
233,234,2013.333,39.7,333.3679,9,24.98016,121.53932,32.4
112,113,2013.417,9.9,2102.427,3,24.96044,121.51462,23.1
243,244,2013.417,32.8,204.1705,8,24.98236,121.53923,48.2
134,135,2012.667,33.4,186.9686,6,24.96604,121.54211,42.2
165,166,2012.917,13.7,1236.564,1,24.97694,121.55391,30.6
99,100,2013.417,6.4,90.45606,9,24.97433,121.5431,62.2
36,37,2012.917,14.7,1935.009,2,24.96386,121.51458,22.9
183,184,2013.5,17.0,4082.015,0,24.94155,121.50381,18.8
257,258,2013.25,17.3,444.1334,1,24.97501,121.5273,43.9
379,380,2013.333,0.0,292.9978,6,24.97744,121.54458,69.7
376,377,2013.417,14.7,1717.193,2,24.96447,121.51649,30.5
67,68,2013.5,8.5,104.8101,5,24.96674,121.54067,56.8
98,99,2013.417,16.4,289.3248,5,24.98203,121.54348,51.0
282,283,2012.917,2.0,1455.798,1,24.9512,121.549,25.6
285,286,2013.167,30.1,718.2937,3,24.97509,121.53644,55.3
111,112,2013.583,33.3,196.6172,7,24.97701,121.54224,39.4
133,134,2012.833,18.0,373.3937,8,24.9866,121.54082,39.5
163,164,2013.5,8.5,104.8101,5,24.96674,121.54067,55.5
402,403,2012.833,12.7,187.4823,1,24.97388,121.52981,28.5
388,389,2013.5,10.4,2251.938,4,24.95957,121.51353,27.3
17,18,2012.75,17.7,350.8515,1,24.97544,121.53119,37.4
366,367,2012.75,14.2,1801.544,1,24.95153,121.55254,24.8
114,115,2012.667,30.6,143.8383,8,24.98155,121.54142,53.3
83,84,2012.917,25.3,2707.392,3,24.96056,121.50831,17.7
144,145,2013.083,11.9,1360.139,1,24.95204,121.54842,28.4
28,29,2013.5,19.2,557.478,4,24.97419,121.53797,47.0
64,65,2013.333,17.5,995.7554,0,24.96305,121.54915,25.3
33,34,2013.25,16.5,323.655,6,24.97841,121.54281,49.3
159,160,2012.667,15.5,815.9314,4,24.97886,121.53464,37.4
220,221,2013.333,37.2,186.5101,9,24.97703,121.54265,78.3
130,131,2013.25,29.6,535.527,8,24.98092,121.53653,37.5
86,87,2012.833,1.8,1455.798,1,24.9512,121.549,27.0
63,64,2013.583,2.6,533.4762,4,24.97445,121.54765,55.0
330,331,2013.083,32.0,1156.777,0,24.94935,121.53046,12.8
191,192,2013.167,13.2,750.0704,2,24.97371,121.54951,37.8
218,219,2013.417,13.6,492.2313,5,24.96515,121.53737,43.8
120,121,2013.167,13.3,492.2313,5,24.96515,121.53737,31.3
334,335,2012.917,30.0,1013.341,5,24.99006,121.5346,22.8
6,7,2012.667,34.5,623.4731,7,24.97933,121.53642,40.3
89,90,2013.5,23.0,3947.945,0,24.94783,121.50243,25.3
179,180,2013.083,14.0,438.8513,1,24.97493,121.5273,42.6
56,57,2013.417,33.6,371.2495,8,24.97254,121.54059,41.9
170,171,2013.333,24.0,4527.687,0,24.94741,121.49628,14.4
381,382,2013.417,8.0,132.5469,9,24.98298,121.53981,47.3
153,154,2013.25,6.5,376.1709,6,24.95418,121.53713,40.9
269,270,2013.0,17.6,837.7233,0,24.96334,121.54767,23.0
146,147,2012.75,0.0,185.4296,0,24.9711,121.5317,52.2
409,410,2013.0,13.7,4082.015,0,24.94155,121.50381,15.4
22,23,2012.917,14.7,1360.139,1,24.95204,121.54842,24.6
319,320,2013.25,34.6,272.6783,5,24.95562,121.53872,26.9
384,385,2012.75,16.1,4066.587,0,24.94297,121.50342,12.9
16,17,2013.25,0.0,292.9978,6,24.97744,121.54458,70.1
271,272,2012.917,17.7,451.6419,8,24.96945,121.5449,26.5
354,355,2013.417,12.2,1360.139,1,24.95204,121.54842,30.1
196,197,2013.0,22.8,707.9067,2,24.981,121.54713,36.6
307,308,2012.833,10.3,3079.89,0,24.9546,121.56627,24.7
78,79,2012.917,38.2,552.4371,2,24.97598,121.53381,29.8
278,279,2012.75,0.0,208.3905,6,24.95618,121.53844,44.0
273,274,2013.417,13.2,170.1289,1,24.97371,121.52984,29.3
200,201,2013.417,17.4,995.7554,0,24.96305,121.54915,25.5
101,102,2012.833,12.7,170.1289,1,24.97371,121.52984,32.9
100,101,2013.5,17.5,964.7496,4,24.98872,121.53411,38.2
221,222,2013.333,9.0,1402.016,0,24.98569,121.5276,38.5
26,27,2012.667,3.1,383.8624,5,24.98085,121.54391,56.2
264,265,2013.167,32.6,493.657,7,24.96968,121.54522,40.6
274,275,2013.167,27.5,394.0173,7,24.97305,121.53994,41.0
254,255,2012.667,1.1,329.9747,5,24.98254,121.54395,51.8
370,371,2012.75,15.9,289.3248,5,24.98203,121.54348,42.1
293,294,2012.667,12.6,383.2805,7,24.96735,121.54464,42.5
106,107,2013.083,17.2,189.5181,8,24.97707,121.54308,47.1
413,414,2013.5,6.5,90.45606,9,24.97433,121.5431,63.9
161,162,2013.417,19.2,616.4004,3,24.97723,121.53767,39.6
253,254,2012.667,30.4,1735.595,2,24.96464,121.51623,25.9
275,276,2012.667,1.5,23.38284,7,24.96772,121.54102,49.7
292,293,2013.083,17.5,395.6747,5,24.95674,121.534,24.5
131,132,2013.5,4.0,2147.376,3,24.96299,121.51284,30.7
58,59,2013.5,30.3,4510.359,1,24.94925,121.49542,22.6
198,199,2013.083,34.0,157.6052,7,24.96628,121.54196,39.1
247,248,2013.333,21.7,1055.067,0,24.96211,121.54928,23.1
230,231,2013.5,4.0,2147.376,3,24.96299,121.51284,33.4
411,412,2013.25,18.8,390.9696,7,24.97923,121.53986,40.6
43,44,2012.75,34.4,512.7871,6,24.98748,121.54301,34.1
287,288,2013.0,19.2,461.1016,5,24.95425,121.5399,32.9
322,323,2013.0,12.9,187.4823,1,24.97388,121.52981,33.1
372,373,2013.0,33.9,157.6052,7,24.96628,121.54196,41.5
304,305,2013.417,20.0,1626.083,3,24.96622,121.51668,29.4
4,5,2012.833,5.0,390.5684,5,24.97937,121.54245,43.1
0,1,2012.917,32.0,84.87882,10,24.98298,121.54024,37.9
407,408,2013.0,5.2,2408.993,0,24.95505,121.55964,22.3
199,200,2013.417,18.2,451.6419,8,24.96945,121.5449,31.6
2,3,2013.583,13.3,561.9845,5,24.98746,121.54391,47.3
215,216,2013.333,19.2,383.7129,8,24.972,121.54477,48.1
135,136,2012.917,18.9,1009.235,0,24.96357,121.54951,20.8
24,25,2013.0,39.6,480.6977,4,24.97353,121.53885,38.8
302,303,2013.5,16.5,2288.011,3,24.95885,121.51359,23.2
315,316,2013.083,15.6,1756.411,2,24.9832,121.51812,27.3
195,196,2013.333,15.2,461.1016,5,24.95425,121.5399,34.6
190,191,2013.5,35.3,616.5735,8,24.97945,121.53642,42.3
323,324,2013.417,28.6,197.1338,6,24.97631,121.54436,42.5
268,269,2013.417,17.2,390.5684,5,24.97937,121.54245,40.1
136,137,2012.75,11.4,390.5684,5,24.97937,121.54245,46.8
35,36,2013.5,13.9,4079.418,0,25.01459,121.51816,27.3
27,28,2013.25,10.4,276.449,5,24.95593,121.53913,33.6
321,322,2012.917,16.9,964.7496,4,24.98872,121.53411,37.7
261,262,2013.167,16.2,2288.011,3,24.95885,121.51359,24.4
202,203,2012.917,38.3,642.6985,3,24.97559,121.53713,31.5
390,391,2013.5,32.8,377.8302,9,24.97151,121.5435,38.6
14,15,2013.5,13.2,1164.838,4,24.99156,121.53406,34.3
181,182,2013.167,11.6,201.8939,8,24.98489,121.54121,55.9
385,386,2013.0,18.3,82.88643,10,24.983,121.54026,46.6
359,360,2013.5,5.6,2408.993,0,24.95505,121.55964,24.7
383,384,2012.667,29.1,506.1144,4,24.97845,121.53889,40.3
19,20,2012.667,1.5,23.38284,7,24.96772,121.54102,47.7
91,92,2013.25,9.1,1402.016,0,24.98569,121.5276,43.2
305,306,2013.083,16.2,289.3248,5,24.98203,121.54348,55.0
248,249,2013.0,19.0,1009.235,0,24.96357,121.54951,22.3
162,163,2012.75,16.0,4066.587,0,24.94297,121.50342,11.6
15,16,2013.583,35.7,579.2083,2,24.9824,121.54619,50.5
375,376,2013.25,21.7,1157.988,0,24.96165,121.55011,23.8
213,214,2013.083,6.2,90.45606,9,24.97433,121.5431,58.0
362,363,2013.417,17.1,967.4,4,24.98872,121.53408,40.0
59,60,2013.083,13.3,336.0532,5,24.95776,121.53438,42.4
314,315,2013.25,3.7,577.9615,6,24.97201,121.54722,41.6
